Inference for Stan model: vpp_delta_model_60c7af9a1ecdac517a7dd47303feaff8.
3 chains, each with iter=3000; warmup=1000; thin=1; 
post-warmup draws per chain=2000, total post-warmup draws=6000.

                mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
ep_pos_r[28]    0.36  9.4e-3    0.4  -0.41   0.12   0.35    0.6   1.21   1834    1.0
ep_pos_r[29]    0.85  9.0e-3   0.41   0.16   0.58   0.82    1.1   1.76   2087    1.0
ep_pos_r[30]    0.13  9.0e-3   0.33  -0.58  -0.07   0.14   0.35   0.75   1377    1.0
ep_pos_r[31]    0.54  9.6e-3   0.36  -0.13   0.31   0.53   0.74   1.33   1451    1.0
ep_pos_r[32]    -0.3  9.8e-3    0.4  -1.19  -0.51  -0.26  -0.03   0.39   1654    1.0
ep_pos_r[33]   -1.47  9.7e-3   0.52  -2.61  -1.81  -1.44   -1.1  -0.57   2888    1.0
ep_pos_r[34]    -1.3    0.01   0.51  -2.42  -1.61  -1.25  -0.95  -0.42   2310    1.0
ep_pos_r[35]    0.15  8.5e-3   0.35  -0.59  -0.06   0.15   0.36   0.85   1730    1.0
ep_pos_r[36]    0.73  7.9e-3   0.36   0.14   0.48    0.7   0.93   1.54   2028    1.0
ep_pos_r[37]     1.0  8.2e-3   0.38   0.35   0.73   0.96   1.22   1.85   2099    1.0
ep_neg_r[0]     1.73  9.7e-3   0.48    0.9    1.4    1.7   2.02   2.79   2447    1.0
ep_neg_r[1]     0.62  7.7e-3   0.47  -0.34   0.32   0.63   0.93   1.53   3733    1.0
ep_neg_r[2]    -0.57  7.8e-3    0.6  -1.86  -0.95  -0.52  -0.15   0.53   6000    1.0
ep_neg_r[3]     0.28    0.01   0.59  -1.04  -0.04   0.34   0.68   1.28   3100    1.0
ep_neg_r[4]     0.83  8.7e-3   0.48   -0.1   0.52   0.83   1.12   1.78   3009    1.0
ep_neg_r[5]    -1.15  8.6e-3   0.67  -2.54  -1.58  -1.11  -0.68   0.02   6000    1.0
ep_neg_r[6]     0.21    0.01   0.53  -0.95   -0.1   0.25   0.56    1.2   2834    1.0
ep_neg_r[7]     0.11    0.01   0.58  -1.15  -0.23   0.13   0.48   1.25   2441    1.0
ep_neg_r[8]    -0.62  8.8e-3   0.54  -1.76  -0.96  -0.58  -0.24   0.33   3773    1.0
ep_neg_r[9]     0.18  8.2e-3   0.52   -0.9  -0.14    0.2   0.53   1.14   3935    1.0
ep_neg_r[10]   -0.66  9.9e-3   0.59  -1.94  -1.02  -0.62  -0.25   0.37   3637    1.0
ep_neg_r[11]    0.69  9.7e-3   0.47   -0.3   0.43   0.72   0.99   1.56   2341    1.0
ep_neg_r[12]    0.12    0.01   0.62  -1.22  -0.26   0.15   0.52   1.27   3522    1.0
ep_neg_r[13]    1.39  8.5e-3   0.46   0.57   1.07   1.36   1.68   2.41   2901    1.0
ep_neg_r[14]   -1.18    0.01   0.61  -2.49  -1.57  -1.13  -0.74  -0.12   3002    1.0
ep_neg_r[15]   -0.26  9.2e-3    0.6  -1.56  -0.62  -0.24   0.15   0.83   4218    1.0
ep_neg_r[16]    -1.0    0.01    0.6  -2.35  -1.37  -0.94  -0.57   0.03   3322    1.0
ep_neg_r[17]   -0.64    0.01   0.63  -1.98  -1.03  -0.61  -0.21   0.47   3669    1.0
ep_neg_r[18]    0.25    0.01   0.52   -0.9  -0.04   0.27   0.59   1.22   2718    1.0
ep_neg_r[19]   -1.24    0.01   0.59  -2.47  -1.61  -1.21  -0.83  -0.17   3432    1.0
ep_neg_r[20]    1.58    0.01   0.52   0.66   1.22   1.54   1.91   2.72   1755    1.0
ep_neg_r[21]   -1.07  8.8e-3   0.68  -2.55  -1.51  -1.03  -0.59   0.13   6000    1.0
ep_neg_r[22]   -1.25    0.01   0.61  -2.56  -1.64  -1.21  -0.81  -0.21   2851    1.0
ep_neg_r[23]   -0.33    0.01   0.66  -1.82  -0.74   -0.3   0.11   0.88   2577    1.0
ep_neg_r[24]   -0.99    0.01   0.64  -2.36  -1.38  -0.95  -0.53   0.14   3193    1.0
ep_neg_r[25]    0.86  7.9e-3   0.47  -0.06   0.58   0.86   1.15   1.83   3547    1.0
ep_neg_r[26]   -0.57  8.2e-3   0.53   -1.7   -0.9  -0.53  -0.19   0.36   4154    1.0
ep_neg_r[27]   -0.52    0.01   0.61  -1.87  -0.89  -0.49   -0.1   0.56   3715    1.0
