Inference for Stan model: vpp_delta_model_60c7af9a1ecdac517a7dd47303feaff8.
3 chains, each with iter=3000; warmup=1000; thin=1; 
post-warmup draws per chain=2000, total post-warmup draws=6000.

                mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
ep_pos_r[23]   -1.12  7.8e-3   0.43  -2.08  -1.38  -1.08  -0.82  -0.42   2985    1.0
ep_pos_r[24]    0.42  8.1e-3   0.41  -0.27   0.14   0.36   0.64   1.41   2572    1.0
ep_pos_r[25]   -1.08  9.5e-3   0.52  -2.26  -1.39  -1.01   -0.7  -0.24   2992    1.0
ep_pos_r[26]    0.18  6.2e-3    0.3  -0.34  -0.02   0.16   0.36   0.85   2389    1.0
ep_pos_r[27]    0.39  6.9e-3    0.4  -0.31   0.12   0.37   0.64   1.27   3394    1.0
ep_pos_r[28]   -0.35  6.2e-3   0.31  -1.01  -0.53  -0.33  -0.16   0.21   2501    1.0
ep_pos_r[29]   -0.16  8.0e-3   0.43  -1.06   -0.4  -0.14    0.1    0.7   2899    1.0
ep_pos_r[30]     0.1  5.7e-3   0.25  -0.35  -0.06    0.1   0.25   0.62   1857    1.0
ep_pos_r[31]    0.77  8.6e-3   0.43   0.08   0.46   0.71    1.0   1.79   2495    1.0
ep_pos_r[32]    0.89  8.1e-3   0.46   0.14   0.55   0.84   1.16   1.93   3260    1.0
ep_pos_r[33]    1.09  8.2e-3   0.49   0.29   0.74   1.04   1.39   2.19   3574    1.0
ep_pos_r[34]    -1.5  8.1e-3   0.45  -2.48  -1.79  -1.48  -1.19  -0.69   3143    1.0
ep_pos_r[35]   -1.28  7.7e-3   0.45  -2.32  -1.55  -1.23  -0.97  -0.52   3490    1.0
ep_pos_r[36]   -1.17  7.5e-3   0.43  -2.14  -1.44  -1.13  -0.86  -0.45   3312    1.0
ep_pos_r[37]    0.88  7.2e-3   0.44   0.19   0.56   0.82   1.13   1.92   3745    1.0
ep_pos_r[38]   -0.89  6.5e-3   0.32   -1.6  -1.09  -0.86  -0.67  -0.35   2411    1.0
ep_pos_r[39]    1.32  8.2e-3   0.52   0.46   0.95   1.28   1.63   2.48   3974    1.0
ep_pos_r[40]    0.25    0.01   0.39  -0.38-9.8e-3   0.21   0.46   1.18   1231    1.0
ep_pos_r[41]    0.88  7.7e-3   0.43   0.19   0.58   0.84   1.13   1.87   3084    1.0
ep_pos_r[42]   -0.11  6.9e-3    0.3   -0.7  -0.31  -0.12   0.07   0.52   1940    1.0
ep_neg_r[0]    -1.04  9.8e-3   0.76  -2.59  -1.54  -1.02  -0.54   0.42   6000    1.0
ep_neg_r[1]    -0.95  7.0e-3   0.54  -2.14   -1.3  -0.89  -0.56  -0.03   6000    1.0
ep_neg_r[2]     0.48  6.6e-3   0.51  -0.58   0.17   0.47   0.79   1.57   6000    1.0
ep_neg_r[3]    -0.63  8.8e-3   0.68  -2.04  -1.06   -0.6  -0.19   0.67   6000    1.0
ep_neg_r[4]     0.25  6.4e-3   0.49  -0.76  -0.04   0.26   0.54   1.28   6000    1.0
ep_neg_r[5]    -0.91  6.8e-3   0.53  -2.08  -1.24  -0.86  -0.54-9.8e-3   6000    1.0
ep_neg_r[6]    -0.29  8.4e-3   0.65  -1.64  -0.69  -0.26   0.13   0.94   6000    1.0
ep_neg_r[7]    -0.64  7.8e-3    0.6  -1.93  -1.02  -0.61  -0.24   0.44   6000    1.0
ep_neg_r[8]    -0.97  7.1e-3   0.55  -2.27  -1.29  -0.91  -0.59  -0.09   6000    1.0
ep_neg_r[9]    -0.48  8.9e-3   0.69  -1.94   -0.9  -0.45  -0.02   0.82   6000    1.0
ep_neg_r[10]   -0.43  9.1e-3   0.49   -1.5  -0.72  -0.39  -0.09    0.4   2855    1.0
ep_neg_r[11]   -0.25  7.0e-3   0.54  -1.37  -0.58  -0.23   0.09   0.78   6000    1.0
ep_neg_r[12]    0.61  7.7e-3    0.6  -0.62   0.23   0.61   0.98    1.8   6000    1.0
ep_neg_r[13]    1.07  6.8e-3   0.53   0.13   0.71   1.01   1.39   2.25   6000    1.0
ep_neg_r[14]    1.12  6.9e-3   0.53   0.19   0.75   1.08   1.44   2.32   6000    1.0
ep_neg_r[15]    0.77  6.8e-3   0.52   -0.2   0.42   0.74   1.09   1.86   6000    1.0
ep_neg_r[16]   -0.53    0.01    0.7  -1.98  -0.97  -0.51  -0.07   0.78   3399    1.0
ep_neg_r[17]   -0.11  8.4e-3   0.65  -1.45  -0.52  -0.08   0.31   1.17   6000    1.0
ep_neg_r[18]    1.48  7.4e-3   0.49   0.65   1.13   1.43   1.78   2.55   4340    1.0
ep_neg_r[19]   -0.36  7.9e-3   0.61  -1.67  -0.73  -0.32   0.03    0.8   6000    1.0
ep_neg_r[20]     0.5  6.7e-3   0.52  -0.56   0.17   0.51   0.83   1.56   6000    1.0
ep_neg_r[21]   -1.05  6.9e-3   0.54  -2.24  -1.37   -1.0  -0.67  -0.13   6000    1.0
ep_neg_r[22]    0.64  6.6e-3   0.51  -0.31   0.32   0.62   0.94   1.75   6000    1.0
ep_neg_r[23]   -1.01  7.4e-3   0.57  -2.26  -1.38  -0.97   -0.6  -0.04   6000    1.0
ep_neg_r[24]    0.12  8.2e-3   0.64  -1.21  -0.26   0.13   0.52   1.39   6000    1.0
