Inference for Stan model: wsls_6_model_303fcf1696c87ab69f6dd8fb0117ba09.
3 chains, each with iter=3000; warmup=1000; thin=1; 
post-warmup draws per chain=2000, total post-warmup draws=6000.

                 mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
theta_ws_r[26]   0.07    0.01   0.99  -1.85  -0.58   0.07   0.71   2.04   6000    1.0
theta_ws_r[27]  -0.03    0.01   0.99  -1.98   -0.7  -0.05   0.64   1.95   6000    1.0
theta_ws_r[28]   0.12    0.01   0.95  -1.74  -0.53   0.13   0.76   1.96   6000    1.0
theta_ws_r[29]   0.04    0.01   0.99  -1.88  -0.63   0.04    0.7   1.98   6000    1.0
theta_ws_r[30]   0.08    0.01   0.98  -1.89  -0.59   0.08   0.75   1.98   6000    1.0
theta_ws_r[31]   0.08    0.01   0.97  -1.88  -0.57   0.09   0.73   2.02   6000    1.0
theta_ws_r[32]   0.12    0.01   0.95  -1.75  -0.52   0.12   0.76   1.94   6000    1.0
theta_ws_r[33]  -0.08    0.01   1.04  -2.06   -0.8   -0.1   0.64   1.94   6000    1.0
theta_ws_r[34]  -0.34    0.03   1.11  -2.38  -1.14  -0.39   0.47   1.84   1523    1.0
theta_ws_r[35]   0.16    0.01   0.96  -1.81  -0.46   0.17   0.78   2.07   6000    1.0
theta_ws_r[36]    0.1    0.01   0.99  -1.88  -0.55    0.1   0.77   1.99   6000    1.0
theta_ws_r[37]  -0.38    0.03   1.08  -2.39  -1.13  -0.47   0.36   1.83   1824    1.0
theta_ls_r[0]    0.29    0.02   1.11  -1.89  -0.51    0.3   1.12   2.32   2519    1.0
theta_ls_r[1]    -0.1    0.02   1.07  -2.13  -0.83  -0.14   0.63   2.01   2925    1.0
theta_ls_r[2]   -0.26    0.01   0.95  -2.01  -0.94  -0.31   0.38   1.69   6000    1.0
theta_ls_r[3]   -0.16    0.02   1.04  -2.01   -0.9  -0.23   0.54    2.0   3538    1.0
theta_ls_r[4]   -0.13    0.02   0.96  -1.91  -0.78  -0.19   0.48   1.87   3388    1.0
theta_ls_r[5]     0.5    0.02   0.89  -1.55   0.02   0.57   1.07    2.1   2904    1.0
theta_ls_r[6]    0.04    0.02   1.07  -2.05  -0.68   0.06    0.8   2.07   3519    1.0
