Inference for Stan model: wsls_r_model_f1486bb6abe54d2253b4515ef3604cc9.
3 chains, each with iter=7000; warmup=5000; thin=1; 
post-warmup draws per chain=2000, total post-warmup draws=6000.

                 mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
ev_init_r[33]     0.2    0.34   0.76   -1.5  -0.13   -0.1   0.64   1.73      5   1.19
ev_init_r[34]    0.35    0.24   0.76  -1.45   0.12   0.25   0.83   1.74     10   1.24
ev_init_r[35] -8.9e-3    0.31   0.69  -1.39  -0.41  -0.26   0.45   1.44      5   1.19
ev_init_r[36]   -0.25    0.51   0.89  -1.44  -1.03  -0.38   0.43   1.49      3   1.44
ev_init_r[37]  2.2e-3    0.63    0.9  -1.41  -0.76  -0.17   0.79   1.72      2    1.5
ev_init_r[38]    0.39    0.47   0.81  -1.39  -0.12   0.51   1.07   1.45      3    1.3
ev_init_r[39]   -0.51    0.46   0.92  -1.63  -1.17  -0.89   0.07   1.84      4   1.21
ev_init_r[40]   -0.31    0.21   0.64  -1.36  -0.55  -0.54  -0.05   1.33      9    1.1
ev_init_r[41]     0.1    0.19   0.84  -1.69  -0.46   0.38   0.39   1.63     19   1.06
ev_init_r[42]   -0.07    0.63   1.09  -2.32  -0.99   0.26   0.81   1.53      3   1.58
ev_init_r[43]    0.22    0.08   0.71  -1.53  -0.13   0.46   0.47   1.64     71   1.06
ev_init_r[44]   -0.11    0.94   1.33   -2.1  -1.45  -0.05   1.29   1.48      2   2.33
ev_init_r[45]    0.63    0.44   0.88  -1.42   0.03   0.96    1.0   2.27      4   1.21
ev_init_r[46]    0.16    0.11   0.62  -1.45  -0.01   0.35   0.37   1.39     32   1.04
ev_init_r[47]    0.63    0.51   0.89  -1.42   0.43   0.52   1.16   2.45      3   1.42
zeta_r[0]       -0.53    0.44   0.76  -1.39   -1.2   -0.7  -0.01   1.23      3    1.4
zeta_r[1]       -0.14    0.07   0.64  -1.43  -0.32   -0.3   0.21   1.28     82   1.06
zeta_r[2]        -0.5    0.21   0.51  -1.84   -0.6  -0.49  -0.25   0.41      6   1.13
zeta_r[3]       -0.18    0.25   0.61   -1.6  -0.56 2.3e-3   0.21   0.93      6   1.16
zeta_r[4]       -0.46    0.12   0.61  -1.58  -0.73  -0.41  -0.27    0.9     26   1.07
zeta_r[5]       -0.22    0.46    0.8  -1.59  -0.71  -0.38   0.33   1.45      3   1.45
zeta_r[6]       -0.12    0.26   0.57  -1.55  -0.36   -0.3   0.29   0.94      5   1.18
zeta_r[7]        0.73     0.7   0.99  -1.61   0.14   0.92   1.71   1.75      2   2.26
zeta_r[8]       -0.41    0.56   0.79  -2.02  -0.99  -0.24   0.28   0.62      2   1.66
zeta_r[9]        0.41    0.64   0.91   -1.6   0.11   0.28    1.2   1.72      2   1.81
zeta_r[10]        0.3    1.03   1.45  -2.37  -0.89   0.05   2.08   2.09      2    3.0
zeta_r[11]      -0.24    0.19   0.72  -1.48  -0.53  -0.44   0.21   1.42     14   1.22
zeta_r[12]      -0.27    0.05   0.52  -1.51  -0.37  -0.36    0.1   0.56    110   1.04
zeta_r[13]    -2.9e-3    0.54   0.76  -1.31  -0.76   0.32   0.66   1.12      2    1.6
zeta_r[14]       0.42    0.67   0.95  -1.51   -0.3   0.41   1.45   1.48      2   1.68
zeta_r[15]      -0.03    0.13   0.74  -1.67  -0.23  -0.19   0.36   1.46     35   1.05
zeta_r[16]      -0.28    0.88   1.24  -1.71  -1.66  -0.21   0.85   1.94      2   2.38
zeta_r[17]      -0.49    0.13   0.74  -1.82  -0.76  -0.72  -0.15    1.3     31   1.09
zeta_r[18]      -0.31    0.62   0.87  -1.68  -1.01  -0.59   0.54   1.14      2   1.71
zeta_r[19]      -0.66    0.76   1.07  -1.81  -1.43  -1.24   0.02   1.75      2   1.73
zeta_r[20]      -0.78    0.43   0.86  -1.92  -1.48  -1.07  -0.14   1.07      4    1.5
zeta_r[21]      -0.23    0.69   0.98   -1.7  -1.06  -0.52   0.68   1.56      2    2.1
zeta_r[22]      -0.74    0.49   0.85  -2.08  -1.27  -1.08  -0.34   1.44      3    1.3
zeta_r[23]      -0.07    0.37   0.64   -1.6  -0.35  -0.32    0.5   0.89      3   1.42
zeta_r[24]      -0.23    0.12   0.66  -1.67  -0.52   -0.2  -0.07   1.27     31    1.1
zeta_r[25]       0.04    0.23   0.66  -1.71  -0.22    0.3   0.33   1.04      8   1.11
zeta_r[26]      -0.04    0.89   1.26  -1.64  -1.62   0.71   0.88   1.82      2   2.39
zeta_r[27]       0.13    0.82   1.16  -1.67  -0.96    0.1   1.27   1.77      2   1.89
zeta_r[28]      -0.21    0.18   0.65  -1.36  -0.62  -0.48   0.32   1.15     13   1.22
zeta_r[29]       0.06    0.76   1.07  -2.23  -0.72   0.25   0.83   1.76      2   2.04
zeta_r[30]       0.53    0.33   0.67  -1.39   0.62   0.63   0.91    1.3      4   1.25
zeta_r[31]      -1.46    0.78    1.1  -2.76  -2.55  -1.58  -0.49    0.6      2   1.94
zeta_r[32]      -0.51    0.29   0.65  -1.48  -0.79  -0.65  -0.36   1.22      5   1.16
zeta_r[33]       0.18    0.62   0.87  -1.58  -0.32   -0.3   1.02   1.68      2   1.83
zeta_r[34]       1.04    0.82   1.16  -1.58   0.07    1.7   1.72    2.2      2    2.8
zeta_r[35]       1.76    0.43   0.96  -0.89   1.26   2.25   2.27   3.08      5   1.39
zeta_r[36]       0.06    0.42   0.73  -1.45  -0.46   0.14   0.65   1.19      3   1.28
zeta_r[37]      -0.31    0.56   0.79  -1.92  -0.79  -0.32   0.51   0.53      2    1.8
zeta_r[38]      -0.84    0.32   0.64  -1.89  -1.16  -1.05  -0.44   0.58      4   1.24
zeta_r[39]       0.28    0.72   1.01  -1.88  -0.47   0.37   1.34   1.36      2   1.62
zeta_r[40]       0.36    0.54   0.93  -1.67  -0.18   0.79   1.02    1.5      3   1.28
zeta_r[41]       0.06    0.37   0.52  -0.68  -0.32-5.2e-3   0.39    1.2      2   1.63
zeta_r[42]       1.61    0.24   0.75  -0.71   1.45   1.92   1.93   2.65     10   1.08
zeta_r[43]       0.48    0.08   0.35  -0.23   0.34   0.39   0.63   1.22     19   1.05
zeta_r[44]      -0.29    0.17   0.78  -2.21  -0.67   -0.1-9.2e-3   0.97     22   1.09
zeta_r[45]      -1.16    0.39   0.67  -1.88  -1.54  -1.47  -0.94   0.57      3   1.45
zeta_r[46]       0.36     0.5   0.87  -1.35   -0.3   0.25   1.11   1.74      3    1.4
zeta_r[47]       0.06     0.3   0.67  -1.58  -0.25   0.27    0.3   1.43      5   1.37
lambda_r[0]      0.06    0.17   0.75  -1.38  -0.52    0.4   0.42   1.54     19    1.1
lambda_r[1]      0.64    0.75   1.05  -1.53  -0.15   0.61   1.78   1.81      2   1.71
lambda_r[2]      0.43    0.26   0.91  -1.72  -0.25   0.97   1.04   1.62     12   1.16
lambda_r[3]      0.63    0.53   0.91  -1.38-7.5e-3   0.76    1.5   1.52      3   1.51
lambda_r[4]      0.11    0.43   0.87  -1.45  -0.45  -0.18   0.73   1.95      4   1.34
lambda_r[5]     -0.26    0.22   0.84  -1.91  -0.69  -0.23   0.19   1.45     15   1.34
lambda_r[6]      0.17     0.8   1.13  -1.42  -0.81  -0.03   1.04   2.26      2   1.97
lambda_r[7]      0.31    0.81   1.15  -1.46  -0.56  -0.11   1.28   2.66      2   1.84
lambda_r[8]     -0.19    0.49   0.85  -1.47  -0.95  -0.09   0.49   1.45      3   1.45
lambda_r[9]      -0.4     0.2   0.77  -1.97  -0.68  -0.43  -0.11   1.42     15   1.12
lambda_r[10]     0.53    0.38   0.77  -1.52   0.15   0.77   1.07   1.48      4   1.26
lambda_r[11]     0.34    0.23   0.82   -1.6   0.09   0.35   0.75    1.9     13   1.22
lambda_r[12]    -0.02    0.34   0.84  -1.34  -0.56  -0.45   0.67   1.69      6   1.38
lambda_r[13]    -0.38    0.77   1.08  -1.64  -1.62  -0.18   0.56   1.48      2   1.91
lambda_r[14]    -0.47    0.27   0.93  -2.37  -0.93  -0.91   0.11   1.52     12   1.12
lambda_r[15]     0.44    0.91   1.29  -1.32  -0.65   0.02   1.76   2.79      2   2.17
lambda_r[16]    -0.32    0.23   0.72  -1.48  -0.73  -0.69   0.13   1.39     10   1.24
lambda_r[17]     0.58     0.6   1.04  -1.72  -0.13   0.73   1.57   1.61      3   1.57
lambda_r[18]     0.74    0.97   1.37   -1.6  -0.41   0.55   2.37   2.41      2   2.19
lambda_r[19]     0.39    0.36   0.71  -1.51   0.08   0.57   0.87   1.41      4   1.22
lambda_r[20]     0.35    0.15   0.72  -1.44   0.14   0.35   0.64   1.89     23    1.1
lambda_r[21]     0.13     0.2    0.8  -1.64  -0.35   0.51   0.59   1.44     16   1.13
lambda_r[22]    -0.13    0.58    1.0  -1.34  -1.06  -0.31   0.64   1.86      3   1.59
lambda_r[23]     0.14    0.55   0.95  -1.47   -0.6   0.04   0.83   1.95      3   1.54
lambda_r[24]    -0.06    0.18   0.86  -2.21  -0.53   0.24   0.27   1.36     22   1.12
lambda_r[25]     -0.2    0.31   0.69   -1.5  -0.67   0.02   0.04   1.36      5   1.15
lambda_r[26]     0.09    0.35   0.79  -1.52  -0.53   0.36   0.63   1.41      5   1.22
lambda_r[27]    -0.16    0.62   1.08  -1.77  -1.01   -0.5   0.64   2.03      3    1.3
lambda_r[28]    -0.17    0.11   0.74  -1.69  -0.39  -0.37   0.25    1.4     43   1.03
lambda_r[29]    -0.14    0.41   0.93  -2.31  -0.79   0.31   0.32   1.54      5   1.18
lambda_r[30]     0.41     0.2   0.81  -1.37  -0.07   0.57   0.64   2.01     16    1.2
lambda_r[31]    -0.06    0.54   0.93  -1.95   -0.8    0.1   0.73    1.4      3   1.57
lambda_r[32]    -0.34     0.5   0.87  -2.11  -1.03   0.05   0.07   1.47      3   1.34
lambda_r[33]     0.19    0.41   0.91   -1.5  -0.37  -0.17    0.8   2.27      5   1.44
lambda_r[34]    -0.04    0.51   1.02   -2.2  -0.82   0.38   0.68   1.59      4   1.28
lambda_r[35]    -0.58    0.38   0.76   -1.8  -0.91  -0.68  -0.48   1.43      4   1.23
lambda_r[36]    -0.45    0.49   0.84  -1.99  -1.04  -0.18  -0.17   1.52      3   1.33
lambda_r[37]     0.38    0.66   0.93   -1.4  -0.44   0.41    1.3   1.43      2   1.53
lambda_r[38]    -0.33    0.22   0.78  -2.02  -0.63  -0.58   0.16   1.44     12   1.26
lambda_r[39]    -0.11    0.61   1.05  -2.27  -0.95   0.32   0.65    1.4      3   1.48
lambda_r[40]    -0.35    1.12   1.59   -2.2  -2.17  -0.31   1.08    2.3      2   2.31
lambda_r[41]     0.38    0.75   1.06   -1.5  -0.52   0.34   1.48   1.54      2   1.64
lambda_r[42]     0.13    0.11   0.72  -1.48  -0.15   0.28   0.42   1.44     40   1.01
lambda_r[43]    -0.64    0.88   1.24  -2.16  -2.11  -0.39   0.39   1.47      2   2.03
lambda_r[44]    -0.66    0.52    0.9  -2.26  -1.25  -0.53   -0.5   1.48      3   1.36
lambda_r[45]     0.15    0.33   1.04  -2.06   -0.6   0.57   0.81   1.97     10   1.18
lambda_r[46]    -0.17    0.08   0.67  -1.55  -0.38  -0.27   0.05   1.46     71   1.05
lambda_r[47]    -0.22    0.34   0.77  -1.55  -0.74  -0.43   0.26   1.46      5   1.25
ep_r[0]         -0.12    0.44   0.76  -1.69  -0.71  -0.11   0.58   0.94      3   1.95
